index,state,county,no_01,no_02,no_03,no_other,yes_01,yes_02,yes_03,yes_other,evac
675,FL,santa rosa county,18,,,,,,,,"no, did not evacuate"
676,FL,bay county,6,,,,,,,,"no, did not evacuate"
677,FL,santa rosa county,29,,,I JUST BELIEVED THE LORD WILL PROTECT ME,,,,,"no, did not evacuate"
678,FL,inland counties,6,,,,,,,,"no, did not evacuate"
679,FL,escambia county,18,,,,,,,,"no, did not evacuate"
680,FL,monroe county,29,,,WARNING WAS TOO EARLY,,,,,"no, did not evacuate"
681,FL,escambia county,,,,,advice from friend or relative,,,,"yes, evacuated"
682,FL,bay county,24,,,,,,,,"no, did not evacuate"
683,FL,walton county,29,,,I DIDNT THE NEED TO EVACUATE,,,,,"no, did not evacuate"
684,FL,walton county,29,,,ENJOYS HURRICANES,,,,,"no, did not evacuate"
685,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
686,FL,walton county,,,,,advice or order by elected officials,,,,"yes, evacuated"
687,FL,escambia county,24,,,,,,,,"no, did not evacuate"
688,FL,walton county,23,,,,,,,,"no, did not evacuate"
689,FL,santa rosa county,4,,,,,,,,"no, did not evacuate"
690,FL,okaloosa county,29,,,MY WIFE DIDN'T WANNA GO,,,,,"no, did not evacuate"
691,FL,okaloosa county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
692,FL,santa rosa county,29,,,I WAS GOING TO STAY WITH WHAT I HAD,,,,,"no, did not evacuate"
693,FL,inland counties,6,,,,,,,,"no, did not evacuate"
694,FL,santa rosa county,,,,,"other, specify",,,MOBILE HOME,"yes, evacuated"
695,FL,walton county,18,,,,,,,,"no, did not evacuate"
696,FL,walton county,6,,,,,,,,"no, did not evacuate"
697,FL,monroe county,23,,,,,,,,"no, did not evacuate"
698,FL,franklin county,,,,,"other, specify",,,I LIVE IN A MOBILE HOME,"yes, evacuated"
699,FL,franklin county,29,,,HAD SEVERAL BOATS THAT NEEDED TO BE TAKEN CARE OF,,,,,"no, did not evacuate"
700,FL,walton county,,,,,"other, specify",,,COMMON SENSE,"yes, evacuated"
701,FL,inland counties,6,,,,,,,,"no, did not evacuate"
702,FL,escambia county,29,,,JUST WANTED TO STAY HOME,,,,,"no, did not evacuate"
703,FL,okaloosa county,18,,,,,,,,"no, did not evacuate"
704,FL,santa rosa county,29,forecast said storm would hit a different location,,WAS CONFUSED ABOUT EVACUATION,,,,,"no, did not evacuate"
705,FL,okaloosa county,14,,,,,,,,"no, did not evacuate"
706,FL,escambia county,,,,,information about the severity of the storm,,,,"yes, evacuated"
707,FL,bay county,6,,,,,,,,"no, did not evacuate"
708,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
709,FL,bay county,6,"other, specify:____",,TREES PROTECT IT FROM WIND,,,,,"no, did not evacuate"
710,FL,okaloosa county,,,,,"other, specify",,,MILITARY TELL TO MOVED,"yes, evacuated"
711,FL,santa rosa county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
712,FL,inland counties,6,,,,,,,,"no, did not evacuate"
713,FL,escambia county,6,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
714,FL,escambia county,6,,,,,,,,"no, did not evacuate"
715,FL,monroe county,24,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
716,FL,bay county,5,,,,,,,,"no, did not evacuate"
717,FL,gulf county,6,,,,,,,,"no, did not evacuate"
718,FL,santa rosa county,29,,,I HAVE NEVER GONE ANYWHERE BEFORE; I HAVE SAT THEM ALL OUT.,,,,,"no, did not evacuate"
719,FL,inland counties,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
720,FL,gulf county,9,conflicting official messages if evacuation was necessary,,,,,,,"no, did not evacuate"
721,FL,franklin county,29,,,WE JUST DIDN'T,,,,,"no, did not evacuate"
722,FL,monroe county,13,,,,,,,,"no, did not evacuate"
723,FL,inland counties,6,,,,,,,,"no, did not evacuate"
724,FL,inland counties,6,,,,,,,,"no, did not evacuate"
725,FL,bay county,30,,,,,,,,"no, did not evacuate"
726,FL,okaloosa county,6,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
727,FL,inland counties,6,,,,,,,,"no, did not evacuate"
728,FL,escambia county,29,,,DECIDED TO JUST STAY HOME,,,,,"no, did not evacuate"
729,FL,escambia county,6,,,,,,,,"no, did not evacuate"
730,FL,inland counties,6,,,,,,,,"no, did not evacuate"
731,FL,bay county,30,,,,,,,,"no, did not evacuate"
732,FL,escambia county,4,,,,,,,,"no, did not evacuate"
733,FL,gulf county,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
734,FL,santa rosa county,,,,,information about the severity of the storm,,,,"yes, evacuated"
735,FL,bay county,29,,,WE LIVE INLAND,,,,,"no, did not evacuate"
736,FL,bay county,,,,,"other, specify",,,FEAR,"yes, evacuated"
737,FL,santa rosa county,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
738,FL,franklin county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
739,FL,gulf county,,,,,advice from the media,,,,"yes, evacuated"
740,FL,escambia county,6,,,,,,,,"no, did not evacuate"
741,FL,santa rosa county,29,,,NOT ON THE COAST,,,,,"no, did not evacuate"
742,FL,santa rosa county,16,,,,,,,,"no, did not evacuate"
743,FL,escambia county,4,,,,,,,,"no, did not evacuate"
744,FL,escambia county,29,,,DIDN'T THINK IT WAS NESESARY,,,,,"no, did not evacuate"
745,FL,okaloosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
746,FL,bay county,1,,,,,,,,"no, did not evacuate"
747,FL,escambia county,11,,,,,,,,"no, did not evacuate"
748,FL,okaloosa county,,,,,information about the severity of the storm,,,,"yes, evacuated"
749,FL,bay county,,,,,"other, specify",,,I LIVE CLOSE TO THE BAY,"yes, evacuated"
750,FL,monroe county,6,,,,,,,,"no, did not evacuate"
751,FL,franklin county,6,,,,,,,,"no, did not evacuate"
752,FL,bay county,18,,,,,,,,"no, did not evacuate"
753,FL,inland counties,6,,,,,,,,"no, did not evacuate"
754,FL,monroe county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
755,FL,bay county,28,,,,,,,,"no, did not evacuate"
756,FL,monroe county,,,,,advice or order by elected officials,,,,"yes, evacuated"
757,FL,inland counties,6,,,,,,,,"no, did not evacuate"
758,FL,inland counties,,,,,advice from friend or relative,concerned strong winds would make house unsafe,,,"yes, evacuated"
759,FL,escambia county,,,,,advice or order by elected officials,advice or order by public safety officials,,,"yes, evacuated"
760,FL,okaloosa county,18,,,,,,,,"no, did not evacuate"
761,FL,escambia county,6,,,,,,,,"no, did not evacuate"
762,FL,okaloosa county,28,,,,,,,,"no, did not evacuate"
763,FL,gulf county,30,,,,,,,,"no, did not evacuate"
764,FL,bay county,29,,,DIDNT WANT TO GO,,,,,"no, did not evacuate"
765,FL,okaloosa county,,,,,advice from friend or relative,,,,"yes, evacuated"
766,FL,monroe county,6,left unnecessarily in past storms,,,,,,,"no, did not evacuate"
767,FL,escambia county,29,,,NOT AFRAID OF STORMS,,,,,"no, did not evacuate"
768,FL,monroe county,4,,,,,,,,"no, did not evacuate"
769,FL,inland counties,5,,,,,,,,"no, did not evacuate"
770,FL,santa rosa county,6,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
771,FL,inland counties,29,had no place to go,,CANT RUN FROM IT,,,,,"no, did not evacuate"
772,FL,escambia county,6,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
773,FL,escambia county,,,,,concerned flooding would cut off roads ,,,,"yes, evacuated"
774,FL,gulf county,1,,,,,,,,"no, did not evacuate"
775,FL,okaloosa county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
776,FL,okaloosa county,29,,,NEVER DO I RATHER JUST STAY HOME FOR ANYTHING,,,,,"no, did not evacuate"
777,FL,escambia county,2,,,,,,,,"no, did not evacuate"
778,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
779,FL,gulf county,29,,,DID NOT HAVE TO LEAVE,,,,,"no, did not evacuate"
780,FL,gulf county,6,,,,,,,,"no, did not evacuate"
781,FL,monroe county,14,,,,,,,,"no, did not evacuate"
782,FL,santa rosa county,,,,,advice from friend or relative,,,,"yes, evacuated"
783,FL,gulf county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
784,FL,gulf county,6,,,,,,,,"no, did not evacuate"
785,FL,santa rosa county,,,,,concerned that storm might hit,,,,"yes, evacuated"
786,FL,escambia county,,,,,advice from friend or relative,,,,"yes, evacuated"
787,FL,bay county,6,,,,,,,,"no, did not evacuate"
788,FL,santa rosa county,,,,,"other, specify",,,I LIVE ON THE BEACH,"yes, evacuated"
789,FL,monroe county,12,friend/relative said evacuation wasn't necessary,,,,,,,"no, did not evacuate"
790,FL,gulf county,14,,,,,,,,"no, did not evacuate"
791,FL,inland counties,6,,,,,,,,"no, did not evacuate"
792,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
793,FL,bay county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
794,FL,monroe county,,,,,national weather service issued hurricane warning,,,,"yes, evacuated"
795,FL,franklin county,,,,,information about the severity of the storm,forecast indicated storm would hit,probability (odds) were high that the storm could hit,,"yes, evacuated"
796,FL,bay county,6,home is elevated above the level of storm surge,,,,,,,"no, did not evacuate"
797,FL,gulf county,13,,,,,,,,"no, did not evacuate"
798,FL,escambia county,,,,,"other, specify",,,CONCERN FOR MOTHER,"yes, evacuated"
799,FL,santa rosa county,,,,,"other, specify",,,I LIVE CLOSE TO THE WEATHER,"yes, evacuated"
800,FL,inland counties,6,,,,,,,,"no, did not evacuate"
801,FL,monroe county,21,,,,,,,,"no, did not evacuate"
802,FL,escambia county,6,,,,,,,,"no, did not evacuate"
803,FL,gulf county,6,,,,,,,,"no, did not evacuate"
804,FL,inland counties,29,,,I FELT SAFE I WAS INLAND,,,,,"no, did not evacuate"
805,FL,santa rosa county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
806,FL,escambia county,,,,,"other, specify",,,"NEEDS OXYGEN, SCARED NOT HAVE SUPPLY","yes, evacuated"
807,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
808,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
809,FL,bay county,4,,,,,,,,"no, did not evacuate"
810,FL,gulf county,6,,,,,,,,"no, did not evacuate"
811,FL,bay county,4,,,,,,,,"no, did not evacuate"
812,FL,gulf county,6,,,,,,,,"no, did not evacuate"
813,FL,inland counties,23,"other, specify:____",,TOO FAR FROM SHELTER,,,,,"no, did not evacuate"
814,FL,franklin county,7,,,,,,,,"no, did not evacuate"
815,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
816,FL,escambia county,10,,,,,,,,"no, did not evacuate"
817,FL,escambia county,,,,,concerned about possible tornados,,,,"yes, evacuated"
818,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
819,FL,santa rosa county,4,,,,,,,,"no, did not evacuate"
820,FL,monroe county,5,,,,,,,,"no, did not evacuate"
821,FL,santa rosa county,7,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
822,FL,bay county,,,,,advice from national weather service,,,,"yes, evacuated"
823,FL,santa rosa county,,,,,advice or order by elected officials,,,,"yes, evacuated"
824,FL,inland counties,29,,,HUSBAND DIDN'T WANT TO,,,,,"no, did not evacuate"
825,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
826,FL,escambia county,,,,,advice-order from police officer or fire fighter,information about the severity of the storm,,,"yes, evacuated"
827,FL,bay county,6,,,,,,,,"no, did not evacuate"
828,FL,escambia county,,,,,"other, specify",,,I JUST WANTED TO BE WITH OTHERS,"yes, evacuated"
829,FL,bay county,6,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
830,FL,santa rosa county,,,,,"other, specify",,,IS NOT SAFE TO STAY IN A TRAILER DURING A HURRICANE,"yes, evacuated"
831,FL,bay county,1,,,,,,,,"no, did not evacuate"
832,FL,gulf county,29,,,I WORK DISASTER SERVICES I HAD DUTIES TO PERFORM AFTER THE STORM.,,,,,"no, did not evacuate"
833,FL,santa rosa county,26,,,,,,,,"no, did not evacuate"
834,FL,inland counties,6,left unnecessarily in past storms,,,,,,,"no, did not evacuate"
835,FL,okaloosa county,,,,,information about the severity of the storm,,,,"yes, evacuated"
836,FL,bay county,4,,,,,,,,"no, did not evacuate"
837,FL,escambia county,4,waited too long to leave,,,,,,,"no, did not evacuate"
838,FL,bay county,3,,,,,,,,"no, did not evacuate"
839,FL,gulf county,,,,,experience in other storms,loss of utilities--family member with special needs,,,"yes, evacuated"
840,FL,inland counties,4,,,,,,,,"no, did not evacuate"
841,FL,monroe county,1,,,,,,,,"no, did not evacuate"
842,FL,gulf county,6,,,,,,,,"no, did not evacuate"
843,FL,inland counties,,,,,"other, specify",,,SHE LIVES IN A TRAILER AND HER RELATIVE LIVED IN A HOUSE,"yes, evacuated"
844,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
845,FL,gulf county,4,,,,,,,,"no, did not evacuate"
846,FL,inland counties,6,,,,,,,,"no, did not evacuate"
847,FL,escambia county,6,,,,,,,,"no, did not evacuate"
848,FL,santa rosa county,5,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
849,FL,escambia county,,,,,"other, specify",,,I FELT THAT MY PARENTS NEEDED ME (ELDERLY),"yes, evacuated"
850,FL,monroe county,30,,,,,,,,"no, did not evacuate"
851,FL,okaloosa county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
852,FL,bay county,6,,,,,,,,"no, did not evacuate"
853,FL,bay county,6,,,,,,,,"no, did not evacuate"
854,FL,monroe county,4,,,,,,,,"no, did not evacuate"
855,FL,escambia county,4,,,,,,,,"no, did not evacuate"
856,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
857,FL,gulf county,4,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
858,FL,santa rosa county,6,,,,,,,,"no, did not evacuate"
859,FL,escambia county,,,,,advice from friend or relative,,,,"yes, evacuated"
860,FL,escambia county,29,,,ONE STORY HOUSE VERY MUCH INLAND,,,,,"no, did not evacuate"
861,FL,bay county,6,,,,,,,,"no, did not evacuate"
862,FL,santa rosa county,4,,,,,,,,"no, did not evacuate"
863,FL,inland counties,2,,,,,,,,"no, did not evacuate"
864,FL,bay county,10,,,,,,,,"no, did not evacuate"
865,FL,santa rosa county,22,,,,,,,,"no, did not evacuate"
866,FL,bay county,4,,,,,,,,"no, did not evacuate"
867,FL,gulf county,,,,,information about the severity of the storm,concerned storm would cause home to flood,concerned that storm might hit,,"yes, evacuated"
868,FL,santa rosa county,24,"other, specify:____",,CAR BROKE DOWN,,,,,"no, did not evacuate"
869,FL,bay county,1,,,,,,,,"no, did not evacuate"
870,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
871,FL,gulf county,,,,,"other, specify",,,DID NOT WANT TO BE ALONE,"yes, evacuated"
872,FL,bay county,6,,,,,,,,"no, did not evacuate"
873,FL,okaloosa county,6,,,,,,,,"no, did not evacuate"
874,FL,gulf county,,,,,experience in other storms,,,,"yes, evacuated"
875,FL,monroe county,,,,,"other, specify",,,I LIVE ON A BOAT,"yes, evacuated"
876,FL,okaloosa county,,,,,advice from national weather service,,,,"yes, evacuated"
877,FL,okaloosa county,29,,,AT A FUNERAL AND IT WAS TOO LATE TO LEAVE,,,,,"no, did not evacuate"
878,FL,okaloosa county,21,"tried to leave, but returned home because of traffic",if evacuate could get caught on road in storm,,,,,,"no, did not evacuate"
879,FL,gulf county,4,,,,,,,,"no, did not evacuate"
880,FL,walton county,,,,,advice from friend or relative,,,,"yes, evacuated"
881,FL,bay county,4,,,,,,,,"no, did not evacuate"
882,FL,bay county,6,probabilities indicated low chance of a hit,location was on the weak (left) side of the storm,,,,,,"no, did not evacuate"
883,FL,monroe county,22,if evacuate could get caught on road in storm,house is well built (strong enough to be safe in storm),,,,,,"no, did not evacuate"
884,FL,bay county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
885,FL,okaloosa county,5,,,,,,,,"no, did not evacuate"
886,FL,okaloosa county,21,concerned if could re-enter community after evacuating,,,,,,,"no, did not evacuate"
887,FL,walton county,6,,,,,,,,"no, did not evacuate"
888,FL,franklin county,6,,,,,,,,"no, did not evacuate"
889,FL,santa rosa county,6,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
890,FL,inland counties,,,,,concerned that storm might hit,,,,"yes, evacuated"
891,FL,okaloosa county,4,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
892,FL,santa rosa county,,,,,information about the severity of the storm,concerned strong winds would make house unsafe,forecast indicated storm would hit,,"yes, evacuated"
893,FL,bay county,6,,,,,,,,"no, did not evacuate"
894,FL,franklin county,6,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
895,FL,gulf county,6,,,,,,,,"no, did not evacuate"
896,FL,santa rosa county,6,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
897,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
898,FL,walton county,4,probabilities indicated low chance of a hit,,,,,,,"no, did not evacuate"
899,FL,monroe county,29,,,NEVER GOT TOO CLOSE TO HOME,,,,,"no, did not evacuate"
900,FL,escambia county,29,,,MY MOTHER IN LAW DID NOT WANT TO LEAVE,,,,,"no, did not evacuate"
901,FL,franklin county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
902,FL,franklin county,29,,,I HAVE NEVER LEFT,,,,,"no, did not evacuate"
903,FL,gulf county,,,,,advice or order by elected officials,advice-order from police officer or fire fighter,advice from the media,,"yes, evacuated"
904,FL,okaloosa county,,,,,"other, specify",,,RAIN FLOOD AND THE WIND,"yes, evacuated"
905,FL,escambia county,4,,,,,,,,"no, did not evacuate"
906,FL,escambia county,,,,,information about the severity of the storm,,,,"yes, evacuated"
907,FL,bay county,6,,,,,,,,"no, did not evacuate"
908,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
909,FL,okaloosa county,,,,,advice-order from police officer or fire fighter,advice from national weather service,advice or order by public safety officials,,"yes, evacuated"
910,FL,okaloosa county,21,,,,,,,,"no, did not evacuate"
911,FL,bay county,4,,,,,,,,"no, did not evacuate"
912,FL,okaloosa county,,,,,concerned storm would cause home to flood,,,,"yes, evacuated"
913,FL,walton county,,,,,advice or order by public safety officials,advice or order by elected officials,,,"yes, evacuated"
914,FL,okaloosa county,4,,,,,,,,"no, did not evacuate"
915,FL,inland counties,4,,,,,,,,"no, did not evacuate"
916,FL,walton county,,,,,information about the severity of the storm,probability (odds) were high that the storm could hit,,,"yes, evacuated"
917,FL,escambia county,30,,,,,,,,"no, did not evacuate"
918,FL,inland counties,,,,,advice or order by elected officials,advice or order by public safety officials,advice from national weather service,,"yes, evacuated"
919,FL,okaloosa county,4,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
920,FL,escambia county,4,,,,,,,,"no, did not evacuate"
921,FL,okaloosa county,19,,,,,,,,"no, did not evacuate"
922,FL,escambia county,24,traffic too bad,,,,,,,"no, did not evacuate"
923,FL,inland counties,6,,,,,,,,"no, did not evacuate"
924,FL,okaloosa county,,,,,concerned that storm might hit,,,,"yes, evacuated"
925,FL,bay county,,,,,advice from friend or relative,,,,"yes, evacuated"
926,FL,monroe county,,,,,advice or order by elected officials,,,,"yes, evacuated"
927,FL,bay county,15,,,,,,,,"no, did not evacuate"
928,FL,monroe county,,,,,probability (odds) were high that the storm could hit,,,,"yes, evacuated"
929,FL,inland counties,,,,,"other, specify",,,THEY HAVE A BRICK AND WE ARE IN A MOBILE HOME,"yes, evacuated"
930,FL,escambia county,,,,,information about the severity of the storm,,,,"yes, evacuated"
931,FL,franklin county,,,,,don't know,,,,"yes, evacuated"
932,FL,inland counties,8,,,,,,,,"no, did not evacuate"
933,FL,monroe county,29,,,JUST FELT I WAS SAFE I WORK FOR NOVA,,,,,"no, did not evacuate"
934,FL,okaloosa county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
935,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
936,FL,monroe county,,,,,advice or order by public safety officials,advice-order from police officer or fire fighter,,,"yes, evacuated"
937,FL,monroe county,12,,,,,,,,"no, did not evacuate"
938,FL,bay county,5,house is well built (strong enough to be safe in storm),home is elevated above the level of storm surge,,,,,,"no, did not evacuate"
939,FL,monroe county,1,,,,,,,,"no, did not evacuate"
940,FL,monroe county,4,,,,,,,,"no, did not evacuate"
941,FL,escambia county,18,,,,,,,,"no, did not evacuate"
942,FL,inland counties,21,,,,,,,,"no, did not evacuate"
943,FL,escambia county,6,,,,,,,,"no, did not evacuate"
944,FL,franklin county,1,,,,,,,,"no, did not evacuate"
945,FL,bay county,,,,,advice or order by public safety officials,information about the severity of the storm,loss of utilities--family member with special needs,,"yes, evacuated"
946,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
947,FL,bay county,24,,,,,,,,"no, did not evacuate"
948,FL,escambia county,21,,,,,,,,"no, did not evacuate"
949,FL,monroe county,12,,,,,,,,"no, did not evacuate"
950,FL,franklin county,,,,,concerned that storm might hit,,,,"yes, evacuated"
951,FL,escambia county,,,,,advice from friend or relative,,,,"yes, evacuated"
952,FL,inland counties,6,,,,,,,,"no, did not evacuate"
953,FL,okaloosa county,,,,,information about the severity of the storm,probability (odds) were high that the storm could hit,forecast indicated storm could hit,,"yes, evacuated"
954,FL,monroe county,,,,,"other, specify",,,I SAW IN THE INTERNET THAT IT WAS GOING TO HIT,"yes, evacuated"
955,FL,inland counties,4,,,,,,,,"no, did not evacuate"
956,FL,monroe county,29,,,NEVER LEAVES ISLAND BECAUSE OF HURICANE,,,,,"no, did not evacuate"
957,FL,monroe county,,,,,advice or order by elected officials,,,,"yes, evacuated"
958,FL,inland counties,12,,,,,,,,"no, did not evacuate"
959,FL,escambia county,24,,,,,,,,"no, did not evacuate"
960,FL,monroe county,29,,,"NOTHING, JUST STAYED HERE",,,,,"no, did not evacuate"
961,FL,bay county,5,,,,,,,,"no, did not evacuate"
962,FL,monroe county,,,,,information about the severity of the storm,,,,"yes, evacuated"
963,FL,monroe county,6,,,,,,,,"no, did not evacuate"
964,FL,okaloosa county,29,,,I HAVE ALWAYS STAYED.,,,,,"no, did not evacuate"
965,FL,franklin county,,,,,"other, specify",,,I WAS TAKING  KEMO AND I NEEDED MY MOM TAKE CARE OF MY KIDS,"yes, evacuated"
966,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
967,FL,monroe county,13,,,,,,,,"no, did not evacuate"
968,FL,franklin county,,,,,"other, specify",,,I LIVE IN A TRAILER,"yes, evacuated"
969,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
970,FL,monroe county,18,,,,,,,,"no, did not evacuate"
971,FL,monroe county,1,,,,,,,,"no, did not evacuate"
972,FL,monroe county,13,,,,,,,,"no, did not evacuate"
973,FL,bay county,6,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
974,FL,bay county,12,,,,,,,,"no, did not evacuate"
975,FL,okaloosa county,29,,,"I WAS WELL INLAND AND FELT SAFE,",,,,,"no, did not evacuate"
976,FL,escambia county,,,,,information about the severity of the storm,,,,"yes, evacuated"
977,FL,escambia county,30,,,,,,,,"no, did not evacuate"
978,FL,monroe county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
979,FL,escambia county,,,,,advice-order from police officer or fire fighter,,,,"yes, evacuated"
980,FL,bay county,6,location was on the weak (left) side of the storm,,,,,,,"no, did not evacuate"
981,FL,escambia county,6,,,,,,,,"no, did not evacuate"
982,FL,monroe county,1,,,,,,,,"no, did not evacuate"
983,FL,inland counties,6,,,,,,,,"no, did not evacuate"
984,FL,escambia county,,,,,"other, specify",,,NOBODY,"yes, evacuated"
985,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
986,FL,franklin county,,,,,advice from friend or relative,,,,"yes, evacuated"
987,FL,franklin county,6,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
988,FL,bay county,29,,,JUST DIDN'T LEAVE,,,,,"no, did not evacuate"
989,FL,monroe county,,,,,"other, specify",,,WE LIVE ON A BOAT,"yes, evacuated"
990,FL,franklin county,12,,,,,,,,"no, did not evacuate"
991,FL,monroe county,21,if evacuate could get caught on road in storm,storm wasn't severe enough to be dangerous even if it hit,,,,,,"no, did not evacuate"
992,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
993,FL,franklin county,4,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
994,FL,bay county,1,no place to take pets/shelter would not accept pets,,,,,,,"no, did not evacuate"
995,FL,inland counties,14,,,,,,,,"no, did not evacuate"
996,FL,escambia county,20,,,,,,,,"no, did not evacuate"
997,FL,monroe county,1,,,,,,,,"no, did not evacuate"
998,FL,monroe county,6,storm wasn't severe enough to be dangerous even if it hit,,,,,,,"no, did not evacuate"
999,FL,monroe county,16,,,,,,,,"no, did not evacuate"
1000,FL,franklin county,1,,,,,,,,"no, did not evacuate"
1001,FL,escambia county,24,,,,,,,,"no, did not evacuate"
1002,FL,bay county,18,,,,,,,,"no, did not evacuate"
1003,FL,escambia county,,,,,loss of utilities--family member with special needs,,,,"yes, evacuated"
1004,FL,bay county,6,forecast said storm would hit a different location,,,,,,,"no, did not evacuate"
1005,FL,inland counties,30,,,,,,,,"no, did not evacuate"
1006,FL,inland counties,6,,,,,,,,"no, did not evacuate"
1007,FL,monroe county,,,,,concerned about possible tornados,,,,"yes, evacuated"
1008,FL,escambia county,6,,,,,,,,"no, did not evacuate"
1009,FL,monroe county,,,,,information about the severity of the storm,probability (odds) were high that the storm could hit,,,"yes, evacuated"
1010,FL,monroe county,,,,,forecast indicated storm would hit,,,,"yes, evacuated"
1011,FL,bay county,29,,,AREA IS IN A PROTECTED PLACE,,,,,"no, did not evacuate"
1012,FL,monroe county,,,,,advice from national weather service,probability (odds) were high that the storm could hit,,,"yes, evacuated"
1013,FL,franklin county,8,,,,,,,,"no, did not evacuate"
1014,FL,escambia county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1015,FL,monroe county,30,,,,,,,,"no, did not evacuate"
1016,FL,monroe county,19,,,,,,,,"no, did not evacuate"
1017,FL,monroe county,29,,,I WORK HERE,,,,,"no, did not evacuate"
1018,FL,monroe county,5,,,,,,,,"no, did not evacuate"
1019,FL,escambia county,6,,,,,,,,"no, did not evacuate"
1020,FL,inland counties,1,house is well built (strong enough to be safe in storm),,,,,,,"no, did not evacuate"
1021,FL,franklin county,13,,,,,,,,"no, did not evacuate"
1022,FL,inland counties,14,,,,,,,,"no, did not evacuate"
1023,FL,monroe county,,,,,advice or order by public safety officials,,,,"yes, evacuated"
1024,FL,monroe county,,,,,advice from friend or relative,,,,"yes, evacuated"
1025,FL,walton county,6,,,,,,,,"no, did not evacuate"
1026,FL,monroe county,12,,,,,,,,"no, did not evacuate"
1027,FL,monroe county,,,,,advice from friend or relative,concerned that storm might hit,,,"yes, evacuated"
1028,FL,franklin county,6,,,,,,,,"no, did not evacuate"
1029,FL,monroe county,,,,,concerned strong winds would make house unsafe,,,,"yes, evacuated"
1030,FL,monroe county,,,,,don't know,,,,"yes, evacuated"
1031,FL,santa rosa county,5,,,,,,,,"no, did not evacuate"
1032,FL,escambia county,30,,,,,,,,"no, did not evacuate"
1033,FL,inland counties,5,friend/relative said evacuation wasn't necessary,,,,,,,"no, did not evacuate"
1034,FL,monroe county,10,other information indicated storm wouldn't hit,,,,,,,"no, did not evacuate"
1035,FL,monroe county,6,,,,,,,,"no, did not evacuate"
1036,FL,monroe county,1,,,,,,,,"no, did not evacuate"
